Party_English,Paty_OwnLanguage,Abbreviation,country_names,source_file,source_sheet,source_row
Galician Party,Partido Galeguista,GLG,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,462
Workers' Revolutionary Current,Corriente Revolucionaria de Trabajadores,CRT,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,463
Extremadurans,Partido Regionalista Extremeño–Coalición Regionalista Extremeña,PREx–CREx,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,464
Spanish Socialist Workers' Party,Partido Socialista Obrero Español,PSOE,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,465
People's Party,Partido Popular,PP,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,466
Citizens–Party of the Citizenry,Ciudadanos–Partido de la Ciudadanía,Cs,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,467
United We Can Change Europe,Unidas Podemos Cambiar Europa,Podemos–IU,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,468
Vox,Vox,Vox,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,469
Republics Now,Ahora Repúblicas,Ahora Repúblicas,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,470
Together for Catalunya,Junts per Catalunya,Junts,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,471
Coalition for a Solidary Europe,Coalición por una Europa Solidaria,CEUS,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,472
Commitment to Europe,Compromís per Europa,CpE,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,473
Animalist Party Against Mistreatment of Animals,Partido Animalista Contra el Maltrato Animal,PACMA,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,474
Green Coalition–Citizen Europe,Coalición Verde–Europa Ciudadana,CV–EC,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,475
Zero Cuts–The Greens–European Green Group,Recortes Cero–Los Verdes–Grupo Verde Europeo,Recortes Cero–LV–GVE,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,476
Volt Europa,Volt Europa,Volt,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,477
Feminist Initiative,Iniciativa Feminista,IFem,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,478
Communists,Comunistas,PCPE–PCPC–PCPA,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,479
Act,PACTO,PACT,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,480
Andalusia by Herself,Andalucía por Sí,AxSí,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,481
For a Fairer World,Por Un Mundo Más Justo,PUM+J,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,482
Communist Party of the Workers of Spain,Partido Comunista de los Trabajadores de España,PCTE,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,483
Pirates of Catalonia–European Pirates,Pirates de Catalunya–Piratas Europeos,pirates.cat/ep,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,484
Centrists for Europe,Centristas por Europa,CCD–Lliures–UIJ–centrados,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,485
Forum of Citizens,Foro de Ciudadanos,FAC,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,486
Positive Left,Izquierda Positiva,IZQP,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,487
"With You, We Are Democracy",Contigo Somos Democracia,Contigo,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,488
Extremadurans,Extremeños,CEx–CREx–PREx,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,489
FE de las JONS–Spanish Alternative–La Falange–National Democracy,FE de las JONS–Alternativa Española–La Falange–Democracia Nacional,ADÑ,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,490
Republican Alternative,Alternativa Republicana,ALTER,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,491
Actual Equality,Igualdad Real,IGRE,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,492
Red Current Movement,Movimiento Corriente Roja,MCR,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,493
Humanist Party,Partido Humanista,PH,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,494
Euro Latino Independent Movement,Movimiento Independiente Euro Latino,MIEL,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,495
Internationalist Solidarity and Self-Management,Solidaridad Internacionalista y Autogestión,SAIn,Spain,party_names_merged 4(1) (2).xlsx,Sheet1,496
Swedish Social Democratic Party,Sveriges socialdemokratiska arbetareparti,SAP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,497
Moderate Party,Moderata samlingspartiet,M,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,498
Green Party,Miljöpartiet de gröna,MP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,499
Sweden Democrats,Sverigedemokraterna,SD,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,500
Left Party,Vänsterpartiet,V,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,501
Centre Party,Centerpartiet,C,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,502
Christian Democrats,Kristdemokraterna,KD,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,503
Liberals,Liberalerna,L,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,504
Folklistan,Folklistan,Folklistan,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,505
Alternative for Sweden,Alternativ för Sverige,AfS,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,506
Pirate Party,Piratpartiet,PP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,507
Citizens' Coalition,Medborgerlig Samling,MED,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,508
Human Rights and Democracy,Mänskliga rättigheter och Demokrati,MoD,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,509
Christian Values Party,Kristna Värdepartiet,KVP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,510
Dignified Life,Värdigt Liv,VL,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,511
Swexit,Swexit,Swexit,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,512
Nuance Party,Partiet Nyans,Nyans,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,513
Communist Party of Sweden,Sveriges Kommunistiska Parti,SKP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,514
Climate Alliance,Klimatalliansen,CA,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,515
Volt Sweden,Volt Sverige,Volt,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,516
Other parties,Övriga partier,Other parties,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,517
Swedish Social Democratic Party,Sveriges socialdemokratiska arbetareparti,SAP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,518
Moderate Party,Moderata samlingspartiet,M,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,519
Sweden Democrats,Sverigedemokraterna,SD,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,520
Green Party,Miljöpartiet de gröna,MP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,521
Centre Party,Centerpartiet,C,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,522
Christian Democrats,Kristdemokraterna,KD,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,523
Left Party,Vänsterpartiet,V,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,524
Liberals,Liberalerna,L,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,525
Feminist Initiative,Feministiskt initiativ,FI,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,526
Pirate Party,Piratpartiet,PP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,527
Alternative for Sweden,Alternativ för Sverige,AfS,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,528
Citizens' Coalition,Medborgerlig Samling,MED,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,529
Turning Point Party,Partiet Vändpunkt,PVP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,530
Animals' Party,Djurens parti,DP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,531
Independent Rural Party,Landsbygdspartiet oberoende,LPO,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,532
Christian Values Party,Kristna Värdepartiet,KVP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,533
Direct Democrats,Direktdemokraterna,DD,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,534
Communist Party,Kommunistiska Partiet,,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,535
We Social Conservatives,Vi Socialkonservativa,VSK,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,536
Classical Liberal Party,Klassiskt liberala partiet,KLP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,537
Basic Income Party,Basinkomstpartiet,BIP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,538
Scania Party,Skånepartiet,SP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,539
Freedom and Justice Party,Frihet och Rättvisa,FR,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,540
Security Party,Trygghetspartiet,TP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,541
New Reform,Ny Reform,NR,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,542
Common Sense in Sweden,Sunt förnuft i Sverige,SFS,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,543
European Workers Party,Europeiska Arbetarpartiet,EAP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,544
Svenska folkpartiet,Svenska folkpartiet,SFP,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,545
Swedish People's Party,RKP,SFP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,546
BRP,BRP,BRP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,547
The New Party,Det Nya Partiet,DNP,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,548
Electoral Cooperation Party,Valteknisk Samverkan,VTS,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,549
Kustkult,Kustkult,Kustkult,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,550
Parties not on the ballot,Partier utanför röstsedlar,PNOB,Sweden,party_names_merged 4(1) (2).xlsx,Sheet1,551
Attack,Атака,Атака,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,552
Center,Център,Център,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,553
Bulgaria Mozhe,България Може,България Може,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,554
We Continue the Change - Democratic Bulgaria,Продължаваме Промяната - Демократична България,ПП-ДБ,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,555
Greatness,Величие,Величие,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,556
Center,Център,Център,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,557
"Morality, Unity, Honour",Кирил Веселински,МЕЧ,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,558
"Morality, Unity, Honour",Христо Расташки,МЕЧ,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,559
Revival,Възраждане,Възраждане,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,560
"Morality, Unity, Honour","Морал, Единство, Чест",МЕЧ,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,561
Revival,Възраждане,Възраждане,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,562
We Continue the Change - Democratic Bulgaria,Продължаваме Промяната,ПП,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,563
Greatness,Величие,Величие,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,564
Save Sofia,Спаси София,Спаси София,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,565
We Continue the Change - Democratic Bulgaria,Продължаваме Промяната - Демократична България,ПП-ДБ,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,566
Estonian Reform Party,Eesti Reformierakond,ERE,Estonia,party_names_merged 4(1) (2).xlsx,Sheet1,567
Center,Център,Център,Bulgaria,party_names_merged 4(1) (2).xlsx,Sheet1,568
The Greens,Bündnis 90/Die Grünen,"Gruene, Gruenen",Germany,party_names_merged 4(1) (2).xlsx,Sheet1,569
European Democratic Party,Europäische Demokratische Partei,PDE/EDP European Democrats,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,570
Christian Social Union in Bavaria,Christlich-Soziale Union in Bayern,CDU/CSE,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,571
Christian Democratic Union,Christlich Demokratische Union,CDU/EVP,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,572
Christian Democratic Union,Christlich Demokratische Union,EVP/CDU/CSU,Germany,party_names_merged 4(1) (2).xlsx,Sheet1,573
Green League,Vihreät,VIHR,Finland,party_names_merged 4(1) (2).xlsx,Sheet1,574
